KEPsvmoxQHyjBjUw,7051003730,9,146655.94,10,zvELYyVdr88
GPOadSXiIin,203580571,3,22591.227,19,ncQfTdP68
COYsksNNqbnx,9935330482,6,222366.44,58,qltTOpb95
ArspUGODUi,4811938793,4,180617.73,14,FjVnY90
VufHuWyZlXYA,4776541294,6,272050.94,25,SflpP67
jZAEBbVeXVAWUQhgd,59081035,9,649329.94,71,FrEbeQ36
WYFuJCVGpdsVAnpRg,018926846,9,291090,34,ghsDr87
ArspUGODUi,283600217,6,270926.6,15,jPAcUsxw56
TINuxnBeoUHwSyuFNk,613628,3,219142.48,96,prmAqQs41
urVWuMAsqICZYNMB,768619509,8,749934.7,64,LeJVSM96
dnCVhLMvOOOhWivM,98924327810,6,44629.484,98,akpHvbsb7
tXdwFzNLyEhtqE,6399416411,9,108504.19,80,lkcSYgD4
EVLfwAMmanluSvq,20810078912,1,24465.09,72,prmAqQs41
HUhOEBfdflouTSL,6499613,8,677005.5,79,VVEaZPJMw77
tDofkzVjTrW,87191105214,7,509962.72,58,LQCDp13
OndFDhWHqLrMiTPD,65626515,5,472813.12,59,NcjIV35
GPOadSXiIin,2924516,3,22591.227,33,GGIrIOv66
lbctFLdTRXBSwnxQrQa,526269017,5,275350.66,47,jKJAkjLW98
urVWuMAsqICZYNMB,20501200918,3,281225.5,28,HhqAKiCtY55
RZGQmSmUCIYxVjLf,6998640019,7,12504.085,33,JBGZAiBE97
jwfJIdAmXuV,6734520,2,141517.36,9,voafz79
KBkzvfxrVLEYEkx,82690411021,8,27349.336,27,bAOMWiFGH6
izGPGLZKXkSq,30125022,5,362372.62,58,LzzaH57
TdZrkhtkORxVdaSBOt,9313105223,4,220111.6,2,bAOMWiFGH6
cjOQzcWjhRw,57594124,5,103581.164,36,VVEaZPJMw77
UQDhAawhMgCTUQk,24441440325,7,84704.164,7,mUWmoeQ0
cBHclmrXIXrnRY,51670626,7,289618.62,55,jKJAkjLW98
sDzxcMqfyes,5244427,4,343843,54,BvJlgZPO85
GfNaGMOkOjdIwQ,8245582428,1,74003.36,55,VVEaZPJMw77
uDRLzRpHaRsI,4533677329,5,104153.44,46,ibnzlgc45
sBNalGDvRT,9291230,2,17513.53,18,lkWrOCuW94
VufHuWyZlXYA,7284189331,1,45341.824,83,jPAcUsxw56
TKPPHwzRGWSCs,5829977832,8,462585.47,7,UJivDa58
MaKvzTlKzLSAnTUg,29612926133,3,299293.34,70,mhjvZcGzy5
sUPKQXEcNFILAxpxxsd,0776734,8,455982.47,12,FSDuGxmK43
LkLhnXrFwnkNTc,0269719835,8,457954.38,73,QQzYgU53
linnzMXDNZMqAr,049906536,7,143726.61,74,mUWmoeQ0
